platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_name,store_address,delivery_fee,service_fee_pct,eta_minutes,eta_max_minutes,rating,product_label,product_name,price,real_price,discount_pct,currency,is_product_available,corridor
ubereats,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T22:39:01,McDonald's Santa Fe Zentrika,"Lateral Autopista México-Marquesa #1235, Lomas de Santa Fé, Contadero, 01210",,,,,4.6,big_mac,Big Mac,145.0,145.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T22:39:01,McDonald's Santa Fe Zentrika,"Lateral Autopista México-Marquesa #1235, Lomas de Santa Fé, Contadero, 01210",,,,,4.6,coca_cola,Coca-Cola mediana,65.0,65.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T22:39:01,McDonald's Santa Fe Zentrika,"Lateral Autopista México-Marquesa #1235, Lomas de Santa Fé, Contadero, 01210",,,,,4.6,coca_cola,Coca-Cola Zero mediana,65.0,65.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,218.0,218.0,0.0,MXN,True,Mc para Todos
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,big_mac,Big Mac,125.0,125.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-04-07T22:39:01,McDonald's Sears Insurgentes,"San Luis Potosí 214, Roma Nte.",,,,,4.5,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,218.0,218.0,0.0,MXN,True,Mc para Todos
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,big_mac,Big Mac,125.0,125.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Del Valle,mid-high,19.385,-99.165,2026-04-07T22:39:01,McDonald's Torre Manacar,"Av de los Insurgentes Sur 1457, Insurgentes Mixcoac",,,,,4.6,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,218.0,218.0,0.0,MXN,True,Mc para Todos
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,Big Mac + Coca
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mctrio_big_mac,McTrío mediano Mario Galaxy Big Mac,149.0,149.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,MXN,True,McTrios Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,big_mac,Big Mac Tocino,145.0,145.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,big_mac,Big Mac,125.0,125.0,0.0,MXN,True,A La Carta Comida
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,MXN,True,Bebidas
ubereats,MX,CDMX,Coyoacán,mid,19.3498,-99.162,2026-04-07T22:39:01,McDonald's Oasis Coyoacán,"Av Miguel Ángel de Quevedo 217, Oxtopulco",,,,,4.6,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,MXN,True,Bebidas
